Rk,Date,Tm,,Opp,P,Time,,Description
54,2023-01-14,NJD,@,LAK,2,07:40,EV,Goal by Nikita Okhotyuk assisted by Ondřej Palát and Jack Hughes
55,2023-01-16,NJD,@,SJS,3,19:50,EV,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt
56,2023-01-19,NJD,@,SEA,3,18:46,EV,Goal by Nico Hischier assisted by Jack Hughes and Ondřej Palát
57,2023-01-22,NJD,,PIT,1,00:56,EV,Goal by Jack Hughes assisted by Dougie Hamilton
58,2023-01-22,NJD,,PIT,OT,02:07,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Nico Hischier
59,2023-01-24,NJD,,VEG,3,18:50,EV,Goal by Dougie Hamilton assisted by Jesper Bratt and Jack Hughes
60,2023-01-24,NJD,,VEG,OT,03:54,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Vítek Vaněček
61,2023-01-26,NJD,@,NSH,1,15:57,EV,Goal by Yegor Sharangovich assisted by Jack Hughes
62,2023-01-26,NJD,@,NSH,2,04:06,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Dougie Hamilton
63,2023-01-27,NJD,@,DAL,2,01:05,EV,Goal by Jack Hughes assisted by Dougie Hamilton
64,2023-01-27,NJD,@,DAL,OT,00:20,EV,Goal by Jack Hughes assisted by Jesper Bratt
65,2023-02-06,NJD,,VAN,1,17:48,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Dougie Hamilton
66,2023-02-06,NJD,,VAN,2,10:17,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Damon Severson
67,2023-02-06,NJD,,VAN,OT,04:18,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
68,2023-02-18,NJD,@,PIT,2,03:47,PP,Goal by Dougie Hamilton assisted by Nico Hischier and Jack Hughes
69,2023-02-18,NJD,@,PIT,3,08:39,EV,Goal by Jesper Bratt assisted by Jack Hughes and Yegor Sharangovich
70,2023-02-21,NJD,,MTL,1,13:48,EV,Goal by Jesper Bratt assisted by Jack Hughes
71,2023-02-21,NJD,,MTL,3,11:58,PP,Goal by Dawson Mercer assisted by Miles Wood and Jack Hughes
72,2023-02-23,NJD,,LAK,3,19:21,EV,Goal by Nico Hischier assisted by Jack Hughes and Dougie Hamilton
73,2023-02-25,NJD,,PHI,2,08:35,EV,Goal by Jack Hughes assisted by Jonas Siegenthaler
74,2023-02-25,NJD,,PHI,3,13:49,EV,Goal by Jesper Bratt assisted by Jack Hughes and Yegor Sharangovich
75,2023-03-03,NJD,@,VEG,1,15:16,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
76,2023-03-05,NJD,@,ARI,1,09:09,EV,Goal by Timo Meier assisted by Dougie Hamilton and Jack Hughes
77,2023-03-12,NJD,,CAR,1,06:44,EV,Goal by Jack Hughes
78,2023-03-12,NJD,,CAR,1,08:47,EV,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton
79,2023-03-12,NJD,,CAR,2,04:31,EV,Goal by Jesper Bratt assisted by Jack Hughes
80,2023-03-14,NJD,,TBL,1,05:55,EV,Goal by Damon Severson assisted by Timo Meier and Jack Hughes
81,2023-03-16,NJD,,TBL,3,17:44,PP,Goal by Timo Meier assisted by Dougie Hamilton and Jack Hughes
82,2023-03-24,NJD,@,BUF,1,18:46,EV,Goal by Kevin Bahl assisted by Jack Hughes and Damon Severson
83,2023-03-24,NJD,@,BUF,3,05:20,EV,Goal by Jack Hughes assisted by Jesper Bratt and Kevin Bahl
84,2023-03-24,NJD,@,BUF,3,09:33,PP,Goal by Jack Hughes assisted by Nico Hischier and Dougie Hamilton
85,2023-03-25,NJD,,OTT,1,10:21,PP,Goal by Jack Hughes
86,2023-03-25,NJD,,OTT,3,03:34,EV,Goal by Dougie Hamilton assisted by Jack Hughes and Ondřej Palát
87,2023-03-30,NJD,,NYR,1,17:03,PP,Goal by Timo Meier assisted by Jack Hughes and Nico Hischier
88,2023-04-01,NJD,@,CHI,2,06:19,EV,Goal by Dougie Hamilton assisted by Ondřej Palát and Jack Hughes
89,2023-04-01,NJD,@,CHI,2,18:28,EV,Goal by Jesper Boqvist assisted by Jack Hughes and Jesper Bratt
90,2023-04-02,NJD,@,WPG,3,19:46,PP,Goal by Nico Hischier assisted by Jack Hughes and Jesper Bratt
91,2023-04-04,NJD,,PIT,2,02:54,PP,Goal by Timo Meier assisted by Jack Hughes and Dougie Hamilton
92,2023-04-06,NJD,,CBJ,1,11:35,EV,Goal by Jack Hughes
93,2023-04-06,NJD,,CBJ,2,02:20,PP,Goal by Jack Hughes assisted by Timo Meier and Nico Hischier
94,2023-04-06,NJD,,CBJ,2,16:16,PP,Goal by Timo Meier assisted by Jack Hughes and Jesper Bratt
95,2023-04-06,NJD,,CBJ,3,04:40,EV,Goal by Timo Meier assisted by John Marino and Jack Hughes
96,2023-04-08,NJD,@,BOS,1,06:21,EV,Goal by Jesper Bratt assisted by Jack Hughes and Ondřej Palát
97,2023-04-11,NJD,,BUF,3,18:15,EV,Goal by Jack Hughes assisted by Jesper Bratt and Vítek Vaněček
98,2023-04-13,NJD,@,WSH,3,03:17,EV,Goal by Erik Haula assisted by Jesper Bratt and Jack Hughes
99,2023-04-13,NJD,@,WSH,OT,04:33,EV,Goal by Luke Hughes assisted by Jack Hughes and Nico Hischier
