,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2021-10-15,,Chicago Blackhawks,4,3,W,OT,,29,10,0,2,0,,27,4,2,5,0,,46,39,54.1,39,27,59.1,22,23,48.9,43.8,110.7
2,2021-10-19,,Seattle Kraken,4,2,W,,,33,35,0,3,0,,29,41,1,5,0,,44,44,50.0,37,32,53.6,27,33,45.0,46.2,110.3
3,2021-10-21,,Washington Capitals,1,4,L,,,26,8,1,1,0,,27,4,0,3,0,,47,47,50.0,33,38,46.5,19,22,46.3,33.1,84.0
4,2021-10-23,,Buffalo Sabres,2,1,W,OT,,39,6,1,3,0,,25,8,1,2,0,,65,41,61.3,52,33,61.2,30,13,69.8,24.4,102.8
5,2021-10-26,,Calgary Flames,3,5,L,,,30,10,1,4,0,,29,12,2,3,0,,47,50,48.5,34,34,50.0,25,29,46.3,48.6,95.0
6,2021-10-30,@,Pittsburgh Penguins,4,2,W,,,40,10,0,2,1,,35,4,0,5,0,,49,42,53.8,38,32,54.3,22,28,44.0,48.9,101.4
7,2021-10-31,,Columbus Blue Jackets,3,4,L,SO,,39,4,0,3,0,,26,6,1,2,0,,60,52,53.6,43,33,56.6,21,33,38.9,48.6,99.9
8,2021-11-02,@,Anaheim Ducks,0,4,L,,,28,14,0,5,0,,27,10,2,7,1,,39,43,47.6,30,28,51.7,15,14,51.7,45.0,94.1
9,2021-11-05,@,Los Angeles Kings,2,3,L,OT,,23,12,0,4,0,,29,8,1,6,0,,43,42,50.6,31,31,50.0,14,29,32.6,57.7,100.4
10,2021-11-06,@,San Jose Sharks,3,2,W,SO,,28,6,0,4,0,,27,8,1,3,0,,52,48,52.0,35,31,53.0,26,21,55.3,53.2,103.0
11,2021-11-09,,Florida Panthers,7,3,W,,,31,4,2,4,0,,38,8,0,2,0,,46,61,43.0,37,47,44.0,26,21,55.3,34.5,112.5
12,2021-11-11,,New York Islanders,4,0,W,,,34,8,1,2,1,,42,6,0,3,0,,48,66,42.1,38,46,45.2,20,24,45.5,32.2,107.4
13,2021-11-13,,Boston Bruins,2,5,L,,,29,6,0,3,0,,36,8,1,2,0,,65,48,57.5,41,41,50.0,29,29,50.0,59.9,93.8
14,2021-11-14,@,New York Rangers,3,4,L,SO,,27,4,1,1,0,,41,2,0,2,0,,55,61,47.4,36,50,41.9,31,35,47.0,48.3,100.3
15,2021-11-18,@,Florida Panthers,1,4,L,,,46,6,0,3,0,,41,8,0,2,0,,53,60,46.9,40,46,46.5,20,17,54.1,50.0,92.2
16,2021-11-20,@,Tampa Bay Lightning,5,3,W,,,27,8,0,3,0,,34,6,1,4,0,,42,44,48.8,36,40,47.4,23,35,39.7,48.3,113.1
17,2021-11-24,,Minnesota Wild,2,3,L,SO,,42,8,0,4,0,,27,10,0,3,1,,63,35,64.3,48,26,64.9,24,16,60.0,51.0,101.3
18,2021-11-26,@,Nashville Predators,2,4,L,,,25,6,0,1,0,,31,6,0,3,0,,48,48,50.0,37,41,47.4,27,20,57.4,60.1,94.5
19,2021-11-28,,Philadelphia Flyers,5,2,W,,,35,11,0,3,0,,25,11,0,3,1,,61,50,55.0,42,37,53.2,21,29,42.0,50.0,111.9
20,2021-11-30,,San Jose Sharks,2,5,L,,,34,6,0,1,0,,31,2,1,3,0,,62,48,56.4,47,33,58.8,20,30,40.0,66.7,90.1
21,2021-12-02,@,Minnesota Wild,2,5,L,,,31,10,0,3,0,,38,8,0,4,0,,43,58,42.6,32,46,41.0,20,29,40.8,52.9,92.1
22,2021-12-03,@,Winnipeg Jets,4,8,L,,,37,8,1,2,0,,40,4,1,4,0,,50,50,50.0,42,41,50.6,19,30,38.8,48.3,88.8
23,2021-12-06,,Ottawa Senators,2,3,L,SO,,24,6,0,0,0,,23,4,0,1,0,,70,45,60.9,51,35,59.3,28,24,53.8,30.8,99.6
24,2021-12-08,,Philadelphia Flyers,3,0,W,,,27,4,1,3,0,,25,6,0,2,0,,47,36,56.6,34,30,53.1,16,36,30.8,51.4,108.3
25,2021-12-10,,Nashville Predators,2,3,L,,,31,11,0,4,0,,27,15,1,2,0,,47,43,52.2,41,34,54.7,21,24,46.7,54.8,98.6
26,2021-12-11,@,New York Islanders,2,4,L,,,32,13,0,3,0,,29,25,1,2,1,,50,50,50.0,33,40,45.2,20,33,37.7,51.7,100.0
27,2021-12-14,@,Philadelphia Flyers,1,6,L,,,27,2,0,4,0,,30,10,0,0,1,,37,53,41.1,29,42,40.8,22,28,44.0,50.0,86.9
28,2021-12-16,,Vegas Golden Knights,3,5,L,,,26,18,1,3,1,,30,26,1,4,0,,45,46,49.5,33,38,46.5,22,21,51.2,41.7,88.8
