,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
29,2021-12-18,@,Detroit Red Wings,2,5,L,,,33,8,0,2,1,,30,6,0,3,0,,56,47,54.4,41,35,53.9,23,22,51.1,46.9,86.1
30,2021-12-19,,Pittsburgh Penguins,2,3,L,,,19,8,1,5,0,,22,14,0,2,1,,32,40,44.4,20,32,38.5,15,18,45.5,59.5,99.6
31,2021-12-29,@,Buffalo Sabres,4,3,W,,,42,7,1,2,0,,22,19,0,1,0,,69,41,62.7,55,28,66.3,18,18,50.0,60.0,93.9
32,2021-12-31,,Edmonton Oilers,6,5,W,OT,,41,2,1,2,0,,37,4,0,1,0,,61,62,49.6,47,46,50.5,24,30,44.4,46.7,99.2
33,2022-01-02,@,Washington Capitals,4,3,W,OT,,37,6,0,1,0,,30,6,0,1,0,,57,56,50.4,44,40,52.4,31,28,52.5,50.2,101.1
34,2022-01-04,@,Boston Bruins,3,5,L,,,26,2,0,1,0,,34,2,0,1,0,,40,56,41.7,31,44,41.3,22,40,35.5,31.6,96.9
35,2022-01-06,,Columbus Blue Jackets,3,1,W,,,28,8,1,3,0,,32,6,0,4,0,,46,49,48.4,41,40,50.6,19,21,47.5,47.0,104.0
36,2022-01-08,@,Columbus Blue Jackets,3,4,L,,,30,6,0,3,0,,34,6,1,3,0,,40,45,47.1,31,38,44.9,26,29,47.3,43.9,102.9
37,2022-01-13,@,New York Islanders,2,3,L,,,32,10,1,5,0,,25,12,1,4,0,,39,35,52.7,30,24,55.6,21,17,55.3,45.1,93.5
38,2022-01-19,,Arizona Coyotes,1,4,L,,,36,4,1,2,0,,17,4,0,2,0,,59,39,60.2,43,30,58.9,22,26,45.8,72.9,69.2
39,2022-01-22,,Carolina Hurricanes,7,4,W,,,38,2,1,3,0,,32,6,0,1,0,,57,53,51.8,45,38,54.2,22,36,37.9,48.6,103.3
40,2022-01-23,,Los Angeles Kings,2,3,L,,,25,10,1,2,0,,37,8,0,3,0,,52,53,49.5,41,45,47.7,26,23,53.1,42.7,95.7
41,2022-01-25,,Dallas Stars,1,5,L,,,37,9,1,3,0,,32,13,0,1,0,,70,41,63.1,50,34,59.5,27,37,42.2,59.2,82.8
42,2022-01-27,@,Tampa Bay Lightning,2,3,L,,,33,2,1,3,0,,35,6,1,1,1,,44,44,50.0,32,38,45.7,16,26,38.1,61.3,99.9
43,2022-01-29,@,Carolina Hurricanes,1,2,L,,,25,6,0,2,0,,23,6,0,2,0,,49,49,50.0,34,35,49.3,23,22,51.1,45.1,94.5
44,2022-01-31,@,Toronto Maple Leafs,4,6,L,,,29,6,0,3,0,,33,6,1,3,1,,41,56,42.3,29,36,44.6,19,30,38.8,24.8,101.3
45,2022-02-01,,Toronto Maple Leafs,1,7,L,,,32,4,0,3,0,,36,6,0,2,0,,46,45,50.5,35,40,46.7,23,34,40.4,53.7,82.5
46,2022-02-07,@,Ottawa Senators,1,4,L,,,33,0,1,1,0,,24,2,0,0,0,,73,50,59.3,46,35,56.8,27,18,60.0,65.6,83.3
47,2022-02-08,@,Montreal Canadiens,7,1,W,,,34,6,1,2,0,,31,4,0,3,0,,46,43,51.7,39,30,56.5,26,26,50.0,46.9,115.8
48,2022-02-10,@,St. Louis Blues,7,4,W,,,29,10,0,3,0,,31,8,0,4,0,,52,46,53.1,39,35,52.7,30,27,52.6,40.0,109.6
49,2022-02-13,,Pittsburgh Penguins,2,4,L,,,30,6,0,2,0,,35,4,0,3,0,,38,63,37.6,33,43,43.4,17,20,45.9,63.6,93.6
50,2022-02-15,,Tampa Bay Lightning,3,6,L,,,25,22,1,3,0,,32,16,0,1,0,,46,45,50.5,33,36,47.8,26,31,45.6,44.1,88.4
51,2022-02-24,@,Pittsburgh Penguins,6,1,W,,,36,10,2,5,0,,38,12,1,4,0,,42,56,42.9,33,44,42.9,20,22,47.6,43.9,113.3
52,2022-02-25,@,Chicago Blackhawks,5,8,L,,,36,27,0,2,0,,37,13,3,4,0,,59,46,56.2,42,36,53.8,33,24,57.9,50.3,97.5
53,2022-02-28,,Vancouver Canucks,7,2,W,,,33,2,1,2,0,,38,4,0,1,0,,49,56,46.7,41,49,45.6,27,30,47.4,37.5,115.9
54,2022-03-01,@,Columbus Blue Jackets,3,4,L,,,33,11,2,4,0,,31,13,1,3,0,,55,41,57.3,35,36,49.3,26,35,42.6,57.6,91.3
55,2022-03-04,@,New York Rangers,1,3,L,,,33,13,0,3,0,,32,13,0,3,0,,45,49,47.9,29,40,42.0,15,25,37.5,44.4,93.6
56,2022-03-06,,St. Louis Blues,3,2,W,OT,,33,4,0,5,0,,21,12,0,1,0,,49,41,54.4,41,33,55.4,15,21,41.7,46.5,99.8
57,2022-03-08,,Colorado Avalanche,5,3,W,,,43,8,2,4,1,,26,8,2,4,0,,60,45,57.1,51,31,62.2,25,30,45.5,57.5,100.3
58,2022-03-10,,Winnipeg Jets,1,2,L,,,34,4,1,3,0,,30,6,0,2,0,,58,47,55.2,46,38,54.8,11,25,30.6,41.7,93.1
59,2022-03-12,,Anaheim Ducks,2,1,W,SO,,40,4,0,3,0,,34,6,0,2,0,,67,50,57.3,53,37,58.9,19,24,44.2,41.3,99.4
60,2022-03-15,@,Vancouver Canucks,3,6,L,,,35,2,0,3,0,,31,6,0,1,1,,49,44,52.7,38,32,54.3,25,31,44.6,50.0,92.1
61,2022-03-16,@,Calgary Flames,3,6,L,,,33,0,0,4,0,,40,8,0,0,0,,38,66,36.5,33,49,40.2,29,25,53.7,33.3,93.8
62,2022-03-19,@,Edmonton Oilers,3,6,L,,,28,9,0,3,0,,40,13,1,1,0,,48,56,46.2,38,44,46.3,27,36,42.9,48.1,96.8
63,2022-03-22,,New York Rangers,7,4,W,,,31,2,1,3,0,,35,6,1,1,0,,41,55,42.7,35,38,47.9,24,26,48.0,38.9,111.3
64,2022-03-23,@,Toronto Maple Leafs,2,3,L,,,22,6,1,4,0,,31,8,0,3,2,,44,43,50.6,27,38,41.5,17,34,33.3,53.4,101.7
65,2022-03-26,@,Washington Capitals,3,4,L,,,38,11,0,2,0,,22,11,1,2,0,,69,40,63.3,52,32,61.9,29,20,59.2,67.7,93.6
66,2022-03-27,,Montreal Canadiens,3,2,W,SO,,32,10,1,2,0,,33,4,0,5,0,,54,41,56.8,42,32,56.8,18,26,40.9,55.3,94.6
67,2022-03-31,@,Boston Bruins,1,8,L,,,26,23,0,3,0,,40,23,1,3,0,,38,55,40.9,33,43,43.4,24,35,40.7,53.8,84.2
68,2022-04-02,,Florida Panthers,6,7,L,OT,,31,6,0,2,1,,41,4,0,3,0,,37,62,37.4,30,44,40.5,17,30,36.2,27.9,100.6
69,2022-04-03,,New York Islanders,3,4,L,,,30,31,0,2,0,,29,9,1,3,0,,54,43,55.7,44,34,56.4,18,29,38.3,54.8,99.6
70,2022-04-05,,New York Rangers,1,3,L,,,21,21,0,2,0,,17,9,2,3,0,,39,34,53.4,34,26,56.7,17,24,41.5,35.0,98.1
71,2022-04-07,,Montreal Canadiens,4,7,L,,,37,0,0,2,0,,26,4,0,0,0,,58,46,55.8,45,37,54.9,24,30,44.4,66.7,84.8
72,2022-04-09,@,Dallas Stars,3,1,W,,,23,12,0,3,0,,28,6,1,6,0,,32,40,44.4,28,32,46.7,18,28,39.1,34.9,114.3
73,2022-04-12,@,Arizona Coyotes,6,2,W,,,38,10,0,5,0,,21,12,1,4,0,,45,45,50.0,36,33,52.2,14,21,40.0,70.4,116.0
74,2022-04-14,@,Colorado Avalanche,1,3,L,,,27,4,0,2,0,,30,4,1,2,0,,49,53,48.0,41,37,52.6,19,31,38.0,44.1,96.8
75,2022-04-16,@,Seattle Kraken,3,4,L,SO,,26,6,0,3,0,,26,6,1,3,0,,51,45,53.1,35,33,51.5,17,24,41.5,40.0,103.8
76,2022-04-18,@,Vegas Golden Knights,3,2,W,,,28,2,0,1,0,,44,2,0,1,0,,49,84,36.8,33,61,35.1,27,28,49.1,25.6,106.1
77,2022-04-21,,Buffalo Sabres,2,5,L,,,31,4,0,4,0,,28,8,0,1,2,,46,36,56.1,37,30,55.2,21,19,52.5,59.6,95.8
78,2022-04-23,,Carolina Hurricanes,2,3,L,OT,,19,6,1,3,0,,29,8,0,2,0,,31,55,36.0,21,42,33.3,21,27,43.8,45.1,97.0
79,2022-04-24,,Detroit Red Wings,0,3,L,,,17,6,0,2,0,,24,4,0,3,0,,35,37,48.6,31,30,50.8,13,22,37.1,56.5,86.4
80,2022-04-26,@,Ottawa Senators,4,5,L,OT,,41,6,0,2,0,,34,4,2,3,1,,61,47,56.5,44,39,53.0,30,31,49.2,49.2,103.6
81,2022-04-28,@,Carolina Hurricanes,3,6,L,,,30,6,0,2,0,,36,4,0,3,0,,52,54,49.1,39,44,47.0,21,22,48.8,50.0,89.7
82,2022-04-29,,Detroit Red Wings,3,5,L,,,23,4,0,1,0,,35,2,0,2,0,,45,55,45.0,30,45,40.0,22,21,51.2,58.6,98.5
