Rk,Date,Tm,,Opp,P,Time,,Description
1,2021-01-14,NJD,,BOS,3,08:51,EV,Goal by Miles Wood assisted by Jack Hughes
2,2021-01-14,NJD,,BOS,3,13:46,EV,Goal by Ty Smith assisted by Matt Tennyson and Jack Hughes
3,2021-01-16,NJD,,BOS,1,16:15,EV,Goal by Miles Wood assisted by Ty Smith and Jack Hughes
4,2021-01-19,NJD,@,NYR,2,04:13,EV,Goal by Jack Hughes assisted by Ty Smith and Yegor Sharangovich
5,2021-01-19,NJD,@,NYR,2,08:38,EV,Goal by Jack Hughes
6,2021-01-19,NJD,@,NYR,2,16:00,PP,Goal by Miles Wood assisted by Jack Hughes and Kyle Palmieri
7,2021-01-24,NJD,,NYI,1,17:00,PP,Goal by Jack Hughes assisted by Ty Smith and Kyle Palmieri
8,2021-01-30,NJD,@,BUF,3,01:37,EV,Goal by Andreas Johnsson assisted by Jack Hughes and Damon Severson
9,2021-02-18,NJD,@,BOS,2,01:34,EV,Goal by Kyle Palmieri assisted by Jack Hughes
10,2021-02-20,NJD,,BUF,3,00:40,EV,Goal by Kyle Palmieri assisted by Jack Hughes and Will Butcher
11,2021-02-21,NJD,@,WSH,2,03:55,EV,Goal by Jack Hughes assisted by Andreas Johnsson and Kyle Palmieri
12,2021-02-27,NJD,,WSH,1,18:16,PP,Goal by Nico Hischier assisted by P.K. Subban and Jack Hughes
13,2021-03-04,NJD,,NYR,1,07:12,EV,Goal by Jack Hughes assisted by Sami Vatanen
14,2021-03-11,NJD,@,NYI,3,15:52,EV,Goal by Jack Hughes assisted by Andreas Johnsson and Jesper Bratt
15,2021-03-18,NJD,,PIT,1,10:02,EV,Goal by Jack Hughes assisted by Ty Smith and Kyle Palmieri
16,2021-03-18,NJD,,PIT,2,08:42,PP,Goal by P.K. Subban assisted by Jesper Bratt and Jack Hughes
17,2021-04-04,NJD,,WSH,2,17:42,EV,Goal by Yegor Sharangovich assisted by Ryan Murray and Jack Hughes
18,2021-04-08,NJD,@,BUF,1,16:04,EV,Goal by Jack Hughes assisted by Janne Kuokkanen and Yegor Sharangovich
19,2021-04-08,NJD,@,BUF,3,18:17,EV,Goal by Yegor Sharangovich assisted by Jack Hughes and Janne Kuokkanen
20,2021-04-08,NJD,@,BUF,3,19:28,EV,Goal by Janne Kuokkanen assisted by Yegor Sharangovich and Jack Hughes
21,2021-04-09,NJD,,PIT,2,05:39,EV,Goal by Jack Hughes assisted by Janne Kuokkanen and Yegor Sharangovich
22,2021-04-17,NJD,@,NYR,3,05:34,EV,Goal by P.K. Subban assisted by Jack Hughes and Yegor Sharangovich
23,2021-04-17,NJD,@,NYR,3,06:38,EV,Goal by Yegor Sharangovich assisted by Jack Hughes
24,2021-04-20,NJD,@,PIT,3,12:52,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Janne Kuokkanen
25,2021-04-24,NJD,@,PIT,2,08:45,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Will Butcher
26,2021-04-27,NJD,,PHI,1,18:45,PP,Goal by Nico Hischier assisted by Jack Hughes and Pavel Zacha
27,2021-04-27,NJD,,PHI,2,02:20,PP,Goal by Pavel Zacha assisted by Jack Hughes and Ty Smith
28,2021-05-01,NJD,@,PHI,2,00:52,EV,Goal by Janne Kuokkanen assisted by Jack Hughes and Yegor Sharangovich
29,2021-05-01,NJD,@,PHI,3,14:59,EV,Goal by Yegor Sharangovich assisted by Jack Hughes
30,2021-05-04,NJD,,BOS,1,08:42,PP,Goal by Pavel Zacha assisted by Jack Hughes and Nico Hischier
31,2021-05-04,NJD,,BOS,OT,02:42,EV,Goal by Pavel Zacha assisted by Jack Hughes and Will Butcher
