Rk,Date,Tm,,Opp,P,Time,,Description
1,2019-10-17,NJD,,NYR,2,12:25,EV,Goal by Miles Wood assisted by Jack Hughes and Matt Tennyson
2,2019-10-19,NJD,,VAN,1,14:08,PP,Goal by Jack Hughes assisted by Taylor Hall and Sami Vatanen
3,2019-10-25,NJD,,ARI,1,16:29,EV,Goal by Sami Vatanen assisted by Jack Hughes and P.K. Subban
4,2019-10-25,NJD,,ARI,1,18:26,PP,Goal by Jack Hughes assisted by Taylor Hall and Sami Vatanen
5,2019-10-25,NJD,,ARI,2,13:07,EV,Goal by Pavel Zacha assisted by Jack Hughes and Matt Tennyson
6,2019-11-01,NJD,,PHI,1,06:24,PP,Goal by Wayne Simmonds assisted by Jack Hughes and Kyle Palmieri
7,2019-11-02,NJD,@,CAR,1,19:33,PP,Goal by Jack Hughes assisted by Taylor Hall and Kyle Palmieri
8,2019-11-07,NJD,@,CGY,1,15:44,EV,Goal by Jack Hughes assisted by Taylor Hall and Will Butcher
9,2019-11-07,NJD,@,CGY,2,05:21,EV,Goal by Nikita Gusev assisted by Jack Hughes and Pavel Zacha
10,2019-11-16,NJD,@,MTL,3,15:12,PP,Goal by Wayne Simmonds assisted by Taylor Hall and Jack Hughes
11,2019-11-26,NJD,,MIN,1,12:44,EV,Goal by Jesper Boqvist assisted by Wayne Simmonds and Jack Hughes
12,2019-12-07,NJD,@,NSH,3,11:09,EV,Goal by Taylor Hall assisted by Jack Hughes
13,2019-12-18,NJD,,ANA,3,01:00,EV,Goal by Sami Vatanen assisted by Jack Hughes
14,2019-12-23,NJD,@,CHI,1,14:46,EV,Goal by Jack Hughes assisted by Wayne Simmonds and Sami Vatanen
15,2019-12-29,NJD,@,OTT,2,15:12,PP,Goal by Nikita Gusev assisted by Sami Vatanen and Jack Hughes
16,2019-12-29,NJD,@,OTT,OT,00:54,EV,Goal by Jack Hughes assisted by Kyle Palmieri and Sami Vatanen
17,2020-01-12,NJD,,TBL,2,03:10,EV,Goal by Andy Greene assisted by Miles Wood and Jack Hughes
18,2020-02-04,NJD,,MTL,3,19:40,PP,Goal by Kyle Palmieri assisted by Blake Coleman and Jack Hughes
19,2020-02-08,NJD,,LAK,2,10:43,EV,Goal by Kyle Palmieri assisted by Jack Hughes and Andy Greene
20,2020-02-11,NJD,,FLA,1,03:15,PP,Goal by Jack Hughes assisted by Damon Severson and Wayne Simmonds
21,2020-02-25,NJD,@,DET,2,08:51,PP,Goal by Kyle Palmieri assisted by Jack Hughes and Damon Severson
