,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
12,2021-02-20,,Buffalo Sabres,2,3,L,,,27,2,1,3,0,,29,6,1,1,0,,43,41,51.2,29,38,43.3,18,25,41.9,51.6,96.9
13,2021-02-21,@,Washington Capitals,3,4,L,,,26,8,1,3,0,,41,6,3,4,0,,53,58,47.7,40,49,44.9,24,26,48.0,39.4,106.7
14,2021-02-23,,Buffalo Sabres,1,4,L,,,42,4,0,2,0,,37,4,1,2,0,,60,50,54.5,47,41,53.4,26,23,53.1,65.7,93.5
15,2021-02-25,@,Buffalo Sabres,4,3,W,OT,,40,8,1,4,0,,32,8,2,4,0,,54,36,60.0,43,31,58.1,18,23,43.9,37.5,104.5
16,2021-02-27,,Washington Capitals,2,5,L,,,24,4,1,3,0,,24,6,0,2,0,,45,44,50.6,32,34,48.5,26,26,50.0,44.3,83.7
17,2021-02-28,,Washington Capitals,2,3,L,,,21,11,0,3,0,,23,11,0,3,0,,44,34,56.4,32,29,52.5,16,25,39.0,66.7,96.8
18,2021-03-02,,New York Islanders,1,2,L,,,29,2,0,4,0,,20,8,0,1,0,,44,39,53.0,32,32,50.0,34,21,61.8,59.0,93.4
19,2021-03-04,,New York Rangers,1,6,L,,,36,9,0,4,0,,19,13,1,2,0,,57,29,66.3,48,26,64.9,30,16,65.2,59.2,75.3
20,2021-03-06,,New York Rangers,3,6,L,,,27,10,0,1,0,,28,2,1,5,0,,49,29,62.8,40,24,62.5,28,22,56.0,50.0,89.3
21,2021-03-07,@,Boston Bruins,1,0,W,,,25,4,0,3,0,,40,6,0,2,0,,40,54,42.6,31,44,41.3,19,20,48.7,17.9,104.5
22,2021-03-09,@,Washington Capitals,4,5,L,OT,,31,6,0,3,0,,30,8,1,2,0,,39,52,42.9,30,37,44.8,33,29,53.2,24.5,100.0
23,2021-03-11,@,New York Islanders,3,5,L,,,22,10,0,1,0,,33,2,0,5,0,,41,50,45.1,25,40,38.5,16,19,45.7,58.8,95.8
24,2021-03-13,,New York Islanders,2,3,L,,,28,8,0,3,0,,29,6,0,4,0,,46,30,60.5,35,23,60.3,19,19,50.0,50.0,95.0
25,2021-03-14,,New York Islanders,2,3,L,SO,,31,10,1,3,0,,34,8,0,4,0,,38,44,46.3,32,39,45.1,26,21,55.3,59.8,96.4
26,2021-03-16,,Buffalo Sabres,3,2,W,,,27,6,1,3,0,,35,8,0,2,0,,42,43,49.4,36,39,48.0,19,27,41.3,41.0,102.1
27,2021-03-18,,Pittsburgh Penguins,3,2,W,,,35,4,1,1,0,,42,2,1,2,0,,63,64,49.6,44,53,45.4,29,33,46.8,37.5,103.3
28,2021-03-20,,Pittsburgh Penguins,1,3,L,,,25,6,0,4,0,,29,10,1,2,0,,43,34,55.8,33,33,50.0,20,25,44.4,50.3,97.0
29,2021-03-21,@,Pittsburgh Penguins,2,1,W,OT,,35,4,0,2,0,,36,4,0,2,0,,50,47,51.5,39,38,50.6,22,24,47.8,43.0,102.9
30,2021-03-23,@,Philadelphia Flyers,4,3,W,,,32,6,1,4,0,,33,8,1,3,0,,42,42,50.0,30,29,50.8,26,30,46.4,57.1,104.3
31,2021-03-25,@,Washington Capitals,3,4,L,,,24,4,1,3,0,,22,6,0,2,0,,47,45,51.1,33,35,48.5,27,24,52.9,48.4,88.9
32,2021-03-26,@,Washington Capitals,0,4,L,,,24,4,0,3,0,,31,6,0,2,0,,42,40,51.2,31,32,49.2,26,22,54.2,53.1,84.0
33,2021-03-28,@,Boston Bruins,1,0,W,,,29,8,0,4,0,,40,8,0,4,0,,38,48,44.2,28,39,41.8,13,28,31.7,31.7,104.8
34,2021-03-30,@,Boston Bruins,4,5,L,SO,,35,6,0,3,0,,48,8,1,2,0,,42,68,38.2,36,59,37.9,28,28,50.0,24.1,105.9
35,2021-04-02,,Washington Capitals,1,2,L,OT,,23,4,0,2,0,,40,4,0,2,0,,50,53,48.5,36,41,46.8,23,27,46.0,39.0,98.3
36,2021-04-04,,Washington Capitals,4,5,L,,,39,6,0,4,0,,19,8,1,3,1,,59,29,67.0,45,23,66.2,29,26,52.7,50.0,92.5
37,2021-04-06,,Buffalo Sabres,3,5,L,,,30,4,1,3,0,,18,6,1,2,0,,46,25,64.8,39,19,67.2,23,23,50.0,51.9,82.7
38,2021-04-08,@,Buffalo Sabres,6,3,W,,,38,6,2,4,0,,27,8,1,3,0,,54,33,62.1,43,28,60.6,21,20,51.2,52.4,105.2
39,2021-04-09,,Pittsburgh Penguins,4,6,L,,,30,8,0,1,0,,27,2,2,4,0,,50,37,57.5,41,28,59.4,28,24,53.8,66.3,95.8
40,2021-04-11,,Pittsburgh Penguins,2,5,L,,,30,2,0,2,0,,24,4,1,1,0,,55,43,56.1,39,27,59.1,25,23,52.1,53.1,88.3
41,2021-04-13,,New York Rangers,0,3,L,,,27,10,0,2,0,,20,14,0,0,1,,49,44,52.7,37,36,50.7,16,14,53.3,63.2,89.5
42,2021-04-15,@,New York Rangers,0,4,L,,,16,4,0,3,0,,33,6,0,2,0,,45,42,51.7,29,35,45.3,19,19,50.0,55.6,87.5
43,2021-04-17,@,New York Rangers,3,6,L,,,33,10,0,3,0,,30,10,2,3,0,,60,38,61.2,43,28,60.6,24,13,64.9,50.0,91.3
44,2021-04-18,,New York Rangers,3,5,L,,,30,20,0,1,0,,25,2,2,5,0,,43,37,53.8,31,27,53.4,25,15,62.5,45.8,98.4
45,2021-04-20,@,Pittsburgh Penguins,6,7,L,,,30,4,1,4,1,,32,8,1,2,0,,35,41,46.1,28,34,45.2,19,29,39.6,37.9,96.0
46,2021-04-22,@,Pittsburgh Penguins,1,5,L,,,31,2,0,4,0,,23,8,0,1,1,,45,42,51.7,36,32,52.9,14,18,43.8,45.0,84.0
47,2021-04-24,@,Pittsburgh Penguins,2,4,L,,,36,7,0,2,0,,37,9,1,1,0,,45,50,47.4,38,42,47.5,19,34,35.8,43.2,97.6
48,2021-04-25,@,Philadelphia Flyers,3,4,L,SO,,32,2,0,3,0,,36,6,0,1,0,,47,63,42.7,38,44,46.3,24,27,47.1,45.0,101.3
49,2021-04-27,,Philadelphia Flyers,6,4,W,,,27,9,2,2,0,,30,9,0,2,0,,39,58,40.2,32,41,43.8,25,31,44.6,53.1,103.6
50,2021-04-29,,Philadelphia Flyers,5,3,W,,,19,9,2,4,0,,24,13,1,2,1,,32,47,40.5,23,34,40.4,18,32,36.0,44.4,116.7
51,2021-05-01,@,Philadelphia Flyers,4,1,W,,,21,4,0,2,1,,32,4,0,2,0,,38,58,39.6,29,43,40.3,22,24,47.8,39.4,112.3
52,2021-05-03,,Boston Bruins,0,3,L,,,20,7,0,1,0,,42,7,0,1,0,,39,55,41.5,28,48,36.8,26,26,50.0,39.5,92.7
53,2021-05-04,,Boston Bruins,4,3,W,OT,,21,6,1,4,0,,36,8,1,3,0,,35,56,38.5,26,45,36.6,15,31,32.6,28.4,111.4
54,2021-05-06,@,New York Islanders,2,1,W,,,25,4,0,1,0,,33,2,0,2,0,,46,56,45.1,27,34,44.3,17,28,37.8,49.0,105.0
55,2021-05-08,@,New York Islanders,1,5,L,,,24,6,0,2,0,,27,4,1,3,0,,44,51,46.3,31,30,50.8,23,25,47.9,42.7,87.7
56,2021-05-10,@,Philadelphia Flyers,2,4,L,,,25,8,0,2,0,,31,4,1,4,0,,45,51,46.9,34,38,47.2,15,18,45.5,35.0,95.3
