,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2021-01-14,,Boston Bruins,2,3,L,SO,,22,10,0,5,0,,37,10,2,5,0,,39,45,46.4,32,33,49.2,19,20,48.7,36.9,111.1
2,2021-01-16,,Boston Bruins,2,1,W,OT,,31,11,0,3,0,,28,13,0,2,1,,44,41,51.8,34,35,49.3,20,28,41.7,46.0,107.7
3,2021-01-19,@,New York Rangers,4,3,W,,,28,12,1,2,0,,50,4,2,6,0,,44,55,44.4,34,42,44.7,23,22,51.1,37.5,108.2
4,2021-01-21,@,New York Islanders,1,4,L,,,31,6,0,1,0,,35,2,2,3,0,,55,53,50.9,35,40,46.7,17,35,32.7,59.5,96.6
5,2021-01-24,,New York Islanders,2,0,W,,,24,4,1,2,0,,28,4,0,2,0,,39,38,50.6,30,32,48.4,21,32,39.6,40.5,104.8
6,2021-01-26,,Philadelphia Flyers,3,5,L,,,26,10,0,1,0,,31,2,2,5,0,,40,32,55.6,31,29,51.7,23,24,48.9,53.3,98.6
7,2021-01-28,,Philadelphia Flyers,1,3,L,,,34,4,0,4,0,,17,8,0,2,0,,53,32,62.4,37,25,59.7,12,32,27.3,68.1,85.9
8,2021-01-30,@,Buffalo Sabres,3,4,L,SO,,34,10,1,5,0,,31,10,1,5,0,,42,40,51.2,33,29,53.2,17,29,37.0,56.3,99.6
9,2021-01-31,@,Buffalo Sabres,5,3,W,,,37,8,0,3,0,,33,6,2,4,0,,59,46,56.2,50,39,56.2,22,31,41.5,60.1,109.5
10,2021-02-16,@,New York Rangers,5,2,W,,,37,5,1,2,0,,39,9,0,0,0,,63,65,49.2,48,48,50.0,36,33,52.2,33.3,105.7
11,2021-02-18,@,Boston Bruins,3,2,W,,,26,10,0,4,1,,27,12,2,3,0,,41,42,49.4,28,29,49.1,19,28,40.4,53.4,108.7
