,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
36,2022-12-30,@,Pittsburgh Penguins,4,2,W,,,28,18,1,6,1,,27,12,0,9,0,,38,29,56.7,29,19,60.4,19,17,52.8,45.0,95.7
37,2023-01-01,,Carolina Hurricanes,4,5,L,SO,,28,10,0,3,0,,47,8,1,4,1,,37,67,35.6,30,49,38.0,26,33,44.1,29.8,112.6
38,2023-01-04,@,Detroit Red Wings,5,1,W,,,27,4,2,3,0,,33,6,1,2,0,,40,55,42.1,29,44,39.7,21,38,35.6,31.7,113.0
39,2023-01-05,,St. Louis Blues,3,5,L,,,39,4,1,4,0,,19,8,1,2,0,,61,26,70.1,43,19,69.4,21,11,65.6,57.9,75.9
40,2023-01-07,,New York Rangers,4,3,W,OT,,43,4,1,4,0,,34,8,0,2,0,,66,52,55.9,41,41,50.0,26,30,46.4,50.4,98.4
41,2023-01-10,@,Carolina Hurricanes,5,3,W,,,22,6,0,4,0,,28,8,0,3,2,,33,66,33.3,26,42,38.2,23,25,47.9,41.0,122.5
42,2023-01-13,@,Anaheim Ducks,6,2,W,,,39,15,1,2,0,,33,11,1,4,0,,55,48,53.4,48,38,55.8,26,16,61.9,42.9,109.8
43,2023-01-14,@,Los Angeles Kings,5,2,W,,,28,8,1,3,0,,37,6,2,4,0,,44,54,44.9,29,44,39.7,26,28,48.1,43.2,120.0
44,2023-01-16,@,San Jose Sharks,4,3,W,SO,,41,10,0,1,0,,32,4,1,3,0,,63,49,56.3,41,37,52.6,23,24,48.9,46.5,101.2
45,2023-01-19,@,Seattle Kraken,3,4,L,OT,,30,6,0,1,1,,40,6,0,1,0,,56,75,42.7,41,56,42.3,29,29,50.0,34.3,97.2
46,2023-01-22,,Pittsburgh Penguins,2,1,W,OT,,25,4,1,2,0,,26,4,0,2,0,,51,56,47.7,32,43,42.7,21,24,46.7,54.1,100.7
47,2023-01-24,,Vegas Golden Knights,3,2,W,OT,,36,11,1,1,0,,30,7,0,3,0,,65,53,55.1,44,35,55.7,31,12,72.1,57.7,98.8
48,2023-01-26,@,Nashville Predators,4,6,L,,,39,4,0,2,0,,41,4,1,2,0,,56,62,47.5,40,50,44.4,30,27,52.6,51.3,98.6
49,2023-01-27,@,Dallas Stars,3,2,W,OT,,29,8,0,3,0,,35,6,1,4,0,,41,59,41.0,30,38,44.1,21,30,41.2,56.2,108.6
