Key,team_id,Season_Year,GP,Season,Date,Home,Opp_Name,GF,GA,Result,OT,Team_S,Team_PIM,Team_PPG,Team_PPO,Team_SHG,Opp_S,Opp_PIM,Opp_PPG,Opp_PPO,Opp_SHG
18-2020-R1,18,2020,1,R,20191004,1,Winnipeg Jets,4,5,L,0,39,4,0,2,0,30,4,0,2,0
18-2020-R2,18,2020,2,R,20191005,0,Buffalo Sabres,2,7,L,0,20,20,0,2,0,36,16,3,4,0
18-2020-R3,18,2020,3,R,20191009,0,Philadelphia Flyers,0,4,L,0,25,8,0,5,0,34,10,2,4,0
18-2020-R4,18,2020,4,R,20191010,1,Edmonton Oilers,3,4,L,0,31,6,0,2,0,22,4,2,3,0
18-2020-R5,18,2020,5,R,20191012,0,Boston Bruins,0,3,L,0,31,6,0,4,0,32,8,1,3,0
18-2020-R6,18,2020,6,R,20191014,1,Florida Panthers,4,6,L,0,21,10,0,3,0,34,6,1,5,0
18-2020-R7,18,2020,7,R,20191017,1,New York Rangers,5,2,W,0,38,16,1,7,0,31,18,0,6,0
18-2020-R8,18,2020,8,R,20191019,1,Vancouver Canucks,1,0,W,0,24,23,1,4,0,25,17,0,6,0
18-2020-R9,18,2020,9,R,20191025,1,Arizona Coyotes,3,5,L,0,35,6,1,5,0,17,10,0,3,1
18-2020-R10,18,2020,10,R,20191030,1,Tampa Bay Lightning,6,7,L,1,42,2,1,5,0,23,10,1,1,0
18-2020-R11,18,2020,11,R,20191101,1,Philadelphia Flyers,3,4,L,0,26,21,2,4,0,31,13,0,3,0
18-2020-R12,18,2020,12,R,20191102,0,Carolina Hurricanes,5,3,W,0,26,12,1,4,0,27,12,1,4,0
18-2020-R13,18,2020,13,R,20191105,0,Winnipeg Jets,2,1,W,0,32,2,0,3,0,33,6,0,1,0
18-2020-R14,18,2020,14,R,20191107,0,Calgary Flames,2,5,L,0,23,12,0,3,0,38,6,2,6,0
18-2020-R15,18,2020,15,R,20191108,0,Edmonton Oilers,0,4,L,0,29,6,0,4,0,32,8,1,3,0
18-2020-R16,18,2020,16,R,20191110,0,Vancouver Canucks,2,1,W,0,27,6,1,2,0,31,4,1,3,0
18-2020-R17,18,2020,17,R,20191113,1,Ottawa Senators,2,4,L,0,23,2,0,3,0,25,6,0,1,0
18-2020-R18,18,2020,18,R,20191115,1,Pittsburgh Penguins,2,1,W,0,21,8,0,2,0,39,6,0,3,0
18-2020-R19,18,2020,19,R,20191116,0,Montreal Canadiens,4,3,W,1,43,12,2,6,1,34,14,1,5,0
18-2020-R20,18,2020,20,R,20191119,1,Boston Bruins,1,5,L,0,26,4,0,2,0,28,4,1,2,0
18-2020-R21,18,2020,21,R,20191122,0,Pittsburgh Penguins,1,4,L,0,37,11,1,4,0,41,13,0,3,0
18-2020-R22,18,2020,22,R,20191123,1,Detroit Red Wings,5,1,W,0,34,15,0,4,0,20,15,0,4,0
18-2020-R23,18,2020,23,R,20191126,1,Minnesota Wild,2,3,L,0,34,8,1,2,0,29,4,1,4,0
18-2020-R24,18,2020,24,R,20191128,0,Montreal Canadiens,6,4,W,0,35,4,0,3,0,48,6,0,2,0
18-2020-R25,18,2020,25,R,20191130,1,New York Rangers,0,4,L,0,33,13,0,8,0,23,34,1,2,2
18-2020-R26,18,2020,26,R,20191202,0,Buffalo Sabres,1,7,L,0,45,6,1,4,0,32,10,1,2,0
18-2020-R27,18,2020,27,R,20191203,1,Vegas Golden Knights,3,4,L,0,35,8,0,2,0,30,6,1,3,0
18-2020-R28,18,2020,28,R,20191206,1,Chicago Blackhawks,1,2,L,0,30,9,1,4,0,29,13,1,2,0
18-2020-R29,18,2020,29,R,20191207,0,Nashville Predators,4,6,L,0,33,12,1,4,0,37,8,0,6,0
18-2020-R30,18,2020,30,R,20191210,0,Dallas Stars,0,2,L,0,26,10,0,3,0,35,6,0,5,0
18-2020-R31,18,2020,31,R,20191213,0,Colorado Avalanche,1,3,L,0,38,10,0,4,0,37,8,1,5,0
18-2020-R32,18,2020,32,R,20191214,0,Arizona Coyotes,2,1,W,0,33,6,0,3,0,32,6,1,3,0
18-2020-R33,18,2020,33,R,20191218,1,Anaheim Ducks,3,1,W,0,20,9,1,4,0,27,13,0,2,0
18-2020-R34,18,2020,34,R,20191220,1,Washington Capitals,3,6,L,0,27,9,1,3,0,29,13,0,1,0
18-2020-R35,18,2020,35,R,20191221,0,Columbus Blue Jackets,1,5,L,0,22,14,0,3,0,40,10,0,5,2
18-2020-R36,18,2020,36,R,20191223,0,Chicago Blackhawks,7,1,W,0,44,31,0,3,1,33,13,0,7,0
18-2020-R37,18,2020,37,R,20191227,1,Toronto Maple Leafs,4,5,L,1,28,10,1,3,0,37,8,2,4,0
18-2020-R38,18,2020,38,R,20191229,0,Ottawa Senators,4,3,W,1,34,23,2,4,0,23,15,0,3,0
