tracked_player_name,Point_Number,Team_Game_Key,P,Time,Goal_Strength,Description,goal_scorer,primary_assist,secondary_assist
"Hughes, Jack",19,18-2021-R38,3,18:17,EV,Goal by Yegor Sharangovich assisted by Jack Hughes and Janne Kuokkanen,"Sharangovich, Yegor","Hughes, Jack","Kuokkanen, Janne"
"Hughes, Jack",20,18-2021-R38,3,19:28,EV,Goal by Janne Kuokkanen assisted by Yegor Sharangovich and Jack Hughes,"Kuokkanen, Janne","Sharangovich, Yegor","Hughes, Jack"
"Hughes, Jack",21,18-2021-R39,2,05:39,EV,Goal by Jack Hughes assisted by Janne Kuokkanen and Yegor Sharangovich,"Hughes, Jack","Kuokkanen, Janne","Sharangovich, Yegor"
"Hughes, Jack",22,18-2021-R43,3,05:34,EV,Goal by P.K. Subban assisted by Jack Hughes and Yegor Sharangovich,"Subban, P.K.","Hughes, Jack","Sharangovich, Yegor"
"Hughes, Jack",23,18-2021-R43,3,06:38,EV,Goal by Yegor Sharangovich assisted by Jack Hughes,"Sharangovich, Yegor","Hughes, Jack",
"Hughes, Jack",24,18-2021-R45,3,12:52,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Janne Kuokkanen,"Hughes, Jack","Sharangovich, Yegor","Kuokkanen, Janne"
"Hughes, Jack",25,18-2021-R47,2,08:45,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Will Butcher,"Hughes, Jack","Sharangovich, Yegor","Butcher, Will"
"Hughes, Jack",26,18-2021-R49,1,18:45,PP,Goal by Nico Hischier assisted by Jack Hughes and Pavel Zacha,"Hischier, Nico","Hughes, Jack","Zacha, Pavel"
"Hughes, Jack",27,18-2021-R49,2,02:20,PP,Goal by Pavel Zacha assisted by Jack Hughes and Ty Smith,"Zacha, Pavel","Hughes, Jack","Smith, Ty"
"Hughes, Jack",28,18-2021-R51,2,00:52,EV,Goal by Janne Kuokkanen assisted by Jack Hughes and Yegor Sharangovich,"Kuokkanen, Janne","Hughes, Jack","Sharangovich, Yegor"
"Hughes, Jack",29,18-2021-R51,3,14:59,EV,Goal by Yegor Sharangovich assisted by Jack Hughes,"Sharangovich, Yegor","Hughes, Jack",
"Hughes, Jack",30,18-2021-R53,1,08:42,PP,Goal by Pavel Zacha assisted by Jack Hughes and Nico Hischier,"Zacha, Pavel","Hughes, Jack","Hischier, Nico"
"Hughes, Jack",31,18-2021-R53,OT,02:42,EV,Goal by Pavel Zacha assisted by Jack Hughes and Will Butcher,"Zacha, Pavel","Hughes, Jack","Butcher, Will"
