tracked_player_name,Point_Number,Team_Game_Key,P,Time,Goal_Strength,Description,goal_scorer,primary_assist,secondary_assist
"Hughes, Jack",1,18-2023-R3,2,04:17,EV,Goal by Ondřej Palát assisted by Ryan Graves and Jack Hughes,"Palát, Ondřej","Graves, Ryan","Hughes, Jack"
"Hughes, Jack",2,18-2023-R3,3,12:49,EV,Goal by Dawson Mercer assisted by Yegor Sharangovich and Jack Hughes,"Mercer, Dawson","Sharangovich, Yegor","Hughes, Jack"
"Hughes, Jack",3,18-2023-R4,2,01:35,EV,Goal by Jack Hughes assisted by Damon Severson,"Hughes, Jack","Severson, Damon",
"Hughes, Jack",4,18-2023-R7,1,15:16,EV,Goal by Jack Hughes assisted by Erik Haula and Jesper Bratt,"Hughes, Jack","Haula, Erik","Bratt, Jesper"
"Hughes, Jack",5,18-2023-R7,2,00:43,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton,"Bratt, Jesper","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",6,18-2023-R8,3,02:59,PP,Goal by Jack Hughes assisted by Jesper Bratt and Dougie Hamilton,"Hughes, Jack","Bratt, Jesper","Hamilton, Dougie"
"Hughes, Jack",7,18-2023-R9,2,03:55,EV,Goal by Ryan Graves assisted by Jesper Bratt and Jack Hughes,"Graves, Ryan","Bratt, Jesper","Hughes, Jack"
"Hughes, Jack",8,18-2023-R9,3,12:47,EV,Goal by Jesper Bratt assisted by Jack Hughes and Tomáš Tatar,"Bratt, Jesper","Hughes, Jack","Tatar, Tomáš"
"Hughes, Jack",9,18-2023-R10,1,04:36,PP,Goal by Nico Hischier assisted by Jesper Bratt and Jack Hughes,"Hischier, Nico","Bratt, Jesper","Hughes, Jack"
"Hughes, Jack",10,18-2023-R10,3,18:58,EV,Goal by Jack Hughes assisted by Tomáš Tatar,"Hughes, Jack","Tatar, Tomáš",
"Hughes, Jack",11,18-2023-R12,1,04:27,EV,Goal by Nathan Bastian assisted by Jack Hughes and Miles Wood,"Bastian, Nathan","Hughes, Jack","Wood, Miles"
"Hughes, Jack",12,18-2023-R12,OT,02:38,PP,Goal by Fabian Zetterlund assisted by Dougie Hamilton and Jack Hughes,"Zetterlund, Fabian","Hamilton, Dougie","Hughes, Jack"
"Hughes, Jack",13,18-2023-R14,1,04:44,EV,Goal by Tomáš Tatar assisted by Jack Hughes and Jonas Siegenthaler,"Tatar, Tomáš","Hughes, Jack","Siegenthaler, Jonas"
"Hughes, Jack",14,18-2023-R14,OT,04:27,PP,Goal by Nico Hischier assisted by Dougie Hamilton and Jack Hughes,"Hischier, Nico","Hamilton, Dougie","Hughes, Jack"
"Hughes, Jack",15,18-2023-R15,1,09:27,EV,Goal by Jack Hughes assisted by Tomáš Tatar and Damon Severson,"Hughes, Jack","Tatar, Tomáš","Severson, Damon"
"Hughes, Jack",16,18-2023-R16,2,03:57,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt,"Hughes, Jack","Hamilton, Dougie","Bratt, Jesper"
"Hughes, Jack",17,18-2023-R16,2,15:29,EV,Goal by Jack Hughes assisted by Dawson Mercer,"Hughes, Jack","Mercer, Dawson",
"Hughes, Jack",18,18-2023-R16,3,12:19,EV,Goal by Jesper Bratt assisted by Jack Hughes and Dawson Mercer,"Bratt, Jesper","Hughes, Jack","Mercer, Dawson"
"Hughes, Jack",19,18-2023-R17,OT,00:57,EV,Goal by Yegor Sharangovich assisted by Jack Hughes,"Sharangovich, Yegor","Hughes, Jack",
"Hughes, Jack",20,18-2023-R19,1,02:25,PP,Goal by Jesper Bratt assisted by Nico Hischier and Jack Hughes,"Bratt, Jesper","Hischier, Nico","Hughes, Jack"
"Hughes, Jack",21,18-2023-R19,2,08:45,EV,Goal by Damon Severson assisted by Jesper Bratt and Jack Hughes,"Severson, Damon","Bratt, Jesper","Hughes, Jack"
"Hughes, Jack",22,18-2023-R21,2,02:00,EV,Goal by Jack Hughes assisted by Dawson Mercer and Erik Haula,"Hughes, Jack","Mercer, Dawson","Haula, Erik"
"Hughes, Jack",23,18-2023-R22,2,05:59,EV,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",24,18-2023-R22,2,09:19,EV,Goal by Jack Hughes assisted by Ryan Graves and Dawson Mercer,"Hughes, Jack","Graves, Ryan","Mercer, Dawson"
"Hughes, Jack",25,18-2023-R22,3,09:51,EV,Goal by Jack Hughes assisted by Erik Haula,"Hughes, Jack","Haula, Erik",
"Hughes, Jack",26,18-2023-R23,2,05:44,EV,Goal by Jack Hughes assisted by Dawson Mercer,"Hughes, Jack","Mercer, Dawson",
"Hughes, Jack",27,18-2023-R24,2,01:57,EV,Goal by Kevin Bahl assisted by Jack Hughes and Erik Haula,"Bahl, Kevin","Hughes, Jack","Haula, Erik"
"Hughes, Jack",28,18-2023-R24,2,02:30,PP,Goal by Jesper Bratt assisted by Nico Hischier and Jack Hughes,"Bratt, Jesper","Hischier, Nico","Hughes, Jack"
"Hughes, Jack",29,18-2023-R25,3,06:56,EV,Goal by Jack Hughes assisted by Erik Haula,"Hughes, Jack","Haula, Erik",
"Hughes, Jack",30,18-2023-R26,1,11:27,EV,Goal by Dougie Hamilton assisted by Jack Hughes,"Hamilton, Dougie","Hughes, Jack",
"Hughes, Jack",31,18-2023-R26,2,14:58,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton,"Bratt, Jesper","Hughes, Jack","Hamilton, Dougie"
