tracked_player_name,Point_Number,Team_Game_Key,P,Time,Goal_Strength,Description,goal_scorer,primary_assist,secondary_assist
"Hughes, Jack",32,18-2023-R27,2,06:03,EV,Goal by Dawson Mercer assisted by Jack Hughes and Ryan Graves,"Mercer, Dawson","Hughes, Jack","Graves, Ryan"
"Hughes, Jack",33,18-2023-R27,3,13:39,EV,Goal by Jack Hughes assisted by Dougie Hamilton and Jonas Siegenthaler,"Hughes, Jack","Hamilton, Dougie","Siegenthaler, Jonas"
"Hughes, Jack",34,18-2023-R28,2,11:05,EV,Goal by Jack Hughes assisted by Dawson Mercer and Dougie Hamilton,"Hughes, Jack","Mercer, Dawson","Hamilton, Dougie"
"Hughes, Jack",35,18-2023-R30,1,04:20,PP,Goal by Jack Hughes assisted by Dougie Hamilton,"Hughes, Jack","Hamilton, Dougie",
"Hughes, Jack",36,18-2023-R31,2,11:27,EV,Goal by John Marino assisted by Jack Hughes and Erik Haula,"Marino, John","Hughes, Jack","Haula, Erik"
"Hughes, Jack",37,18-2023-R32,3,15:24,EV,Goal by Jack Hughes assisted by Brendan Smith and Jesper Bratt,"Hughes, Jack","Smith, Brendan","Bratt, Jesper"
"Hughes, Jack",38,18-2023-R33,1,07:01,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton,"Bratt, Jesper","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",39,18-2023-R34,1,16:36,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Nico Hischier,"Hughes, Jack","Hamilton, Dougie","Hischier, Nico"
"Hughes, Jack",40,18-2023-R36,2,06:18,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt,"Hughes, Jack","Hamilton, Dougie","Bratt, Jesper"
"Hughes, Jack",41,18-2023-R36,3,19:55,EV,Goal by Jack Hughes assisted by Erik Haula and Dawson Mercer,"Hughes, Jack","Haula, Erik","Mercer, Dawson"
"Hughes, Jack",42,18-2023-R37,2,16:18,EV,Goal by Jack Hughes assisted by Dawson Mercer and Erik Haula,"Hughes, Jack","Mercer, Dawson","Haula, Erik"
"Hughes, Jack",43,18-2023-R38,2,09:17,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Nico Hischier,"Hamilton, Dougie","Hughes, Jack","Hischier, Nico"
"Hughes, Jack",44,18-2023-R38,3,13:59,EV,Goal by Jack Hughes assisted by Erik Haula and Tomáš Tatar,"Hughes, Jack","Haula, Erik","Tatar, Tomáš"
"Hughes, Jack",45,18-2023-R39,2,03:51,EV,Goal by Jack Hughes assisted by Damon Severson and Erik Haula,"Hughes, Jack","Severson, Damon","Haula, Erik"
"Hughes, Jack",46,18-2023-R39,2,08:47,EV,Goal by Jack Hughes assisted by Tomáš Tatar,"Hughes, Jack","Tatar, Tomáš",
"Hughes, Jack",47,18-2023-R40,2,09:24,EV,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",48,18-2023-R40,3,08:28,PP,Goal by Jesper Bratt assisted by Nico Hischier and Jack Hughes,"Bratt, Jesper","Hischier, Nico","Hughes, Jack"
"Hughes, Jack",49,18-2023-R40,3,10:32,EV,Goal by Jack Hughes assisted by Dawson Mercer and Ryan Graves,"Hughes, Jack","Mercer, Dawson","Graves, Ryan"
"Hughes, Jack",50,18-2023-R42,1,16:15,PP,Goal by Jack Hughes assisted by Dougie Hamilton and Tomáš Tatar,"Hughes, Jack","Hamilton, Dougie","Tatar, Tomáš"
"Hughes, Jack",51,18-2023-R42,2,11:59,EV,Goal by Jesper Bratt assisted by Jack Hughes and Damon Severson,"Bratt, Jesper","Hughes, Jack","Severson, Damon"
"Hughes, Jack",52,18-2023-R42,3,15:39,EV,Goal by Jack Hughes assisted by Yegor Sharangovich,"Hughes, Jack","Sharangovich, Yegor",
"Hughes, Jack",53,18-2023-R43,1,12:51,PP,Goal by Tomáš Tatar assisted by Nico Hischier and Jack Hughes,"Tatar, Tomáš","Hischier, Nico","Hughes, Jack"
"Hughes, Jack",54,18-2023-R43,2,07:40,EV,Goal by Nikita Okhotyuk assisted by Ondřej Palát and Jack Hughes,"Okhotyuk, Nikita","Palát, Ondřej","Hughes, Jack"
"Hughes, Jack",55,18-2023-R44,3,19:50,EV,Goal by Jack Hughes assisted by Dougie Hamilton and Jesper Bratt,"Hughes, Jack","Hamilton, Dougie","Bratt, Jesper"
"Hughes, Jack",56,18-2023-R45,3,18:46,EV,Goal by Nico Hischier assisted by Jack Hughes and Ondřej Palát,"Hischier, Nico","Hughes, Jack","Palát, Ondřej"
"Hughes, Jack",57,18-2023-R46,1,00:56,EV,Goal by Jack Hughes assisted by Dougie Hamilton,"Hughes, Jack","Hamilton, Dougie",
"Hughes, Jack",58,18-2023-R46,OT,02:07,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Nico Hischier,"Hamilton, Dougie","Hughes, Jack","Hischier, Nico"
"Hughes, Jack",59,18-2023-R47,3,18:50,EV,Goal by Dougie Hamilton assisted by Jesper Bratt and Jack Hughes,"Hamilton, Dougie","Bratt, Jesper","Hughes, Jack"
"Hughes, Jack",60,18-2023-R47,OT,03:54,PP,Goal by Dougie Hamilton assisted by Jack Hughes and Vítek Vaněček,"Hamilton, Dougie","Hughes, Jack","Vaněček, Vítek"
"Hughes, Jack",61,18-2023-R48,1,15:57,EV,Goal by Yegor Sharangovich assisted by Jack Hughes,"Sharangovich, Yegor","Hughes, Jack",
"Hughes, Jack",62,18-2023-R48,2,04:06,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Dougie Hamilton,"Hughes, Jack","Zetterlund, Fabian","Hamilton, Dougie"
"Hughes, Jack",63,18-2023-R49,2,01:05,EV,Goal by Jack Hughes assisted by Dougie Hamilton,"Hughes, Jack","Hamilton, Dougie",
"Hughes, Jack",64,18-2023-R49,OT,00:20,EV,Goal by Jack Hughes assisted by Jesper Bratt,"Hughes, Jack","Bratt, Jesper",
"Hughes, Jack",65,18-2023-R50,1,17:48,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Dougie Hamilton,"Hughes, Jack","Zetterlund, Fabian","Hamilton, Dougie"
"Hughes, Jack",66,18-2023-R50,2,10:17,EV,Goal by Jack Hughes assisted by Fabian Zetterlund and Damon Severson,"Hughes, Jack","Zetterlund, Fabian","Severson, Damon"
"Hughes, Jack",67,18-2023-R50,OT,04:18,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton,"Bratt, Jesper","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",68,18-2023-R55,2,03:47,PP,Goal by Dougie Hamilton assisted by Nico Hischier and Jack Hughes,"Hamilton, Dougie","Hischier, Nico","Hughes, Jack"
"Hughes, Jack",69,18-2023-R55,3,08:39,EV,Goal by Jesper Bratt assisted by Jack Hughes and Yegor Sharangovich,"Bratt, Jesper","Hughes, Jack","Sharangovich, Yegor"
"Hughes, Jack",70,18-2023-R57,1,13:48,EV,Goal by Jesper Bratt assisted by Jack Hughes,"Bratt, Jesper","Hughes, Jack",
"Hughes, Jack",71,18-2023-R57,3,11:58,PP,Goal by Dawson Mercer assisted by Miles Wood and Jack Hughes,"Mercer, Dawson","Wood, Miles","Hughes, Jack"
"Hughes, Jack",72,18-2023-R58,3,19:21,EV,Goal by Nico Hischier assisted by Jack Hughes and Dougie Hamilton,"Hischier, Nico","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",73,18-2023-R59,2,08:35,EV,Goal by Jack Hughes assisted by Jonas Siegenthaler,"Hughes, Jack","Siegenthaler, Jonas",
"Hughes, Jack",74,18-2023-R59,3,13:49,EV,Goal by Jesper Bratt assisted by Jack Hughes and Yegor Sharangovich,"Bratt, Jesper","Hughes, Jack","Sharangovich, Yegor"
"Hughes, Jack",75,18-2023-R61,1,15:16,PP,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton,"Bratt, Jesper","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",76,18-2023-R62,1,09:09,EV,Goal by Timo Meier assisted by Dougie Hamilton and Jack Hughes,"Meier, Timo","Hamilton, Dougie","Hughes, Jack"
"Hughes, Jack",77,18-2023-R66,1,06:44,EV,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",78,18-2023-R66,1,08:47,EV,Goal by Jesper Bratt assisted by Jack Hughes and Dougie Hamilton,"Bratt, Jesper","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",79,18-2023-R66,2,04:31,EV,Goal by Jesper Bratt assisted by Jack Hughes,"Bratt, Jesper","Hughes, Jack",
"Hughes, Jack",80,18-2023-R67,1,05:55,EV,Goal by Damon Severson assisted by Timo Meier and Jack Hughes,"Severson, Damon","Meier, Timo","Hughes, Jack"
"Hughes, Jack",81,18-2023-R68,3,17:44,PP,Goal by Timo Meier assisted by Dougie Hamilton and Jack Hughes,"Meier, Timo","Hamilton, Dougie","Hughes, Jack"
"Hughes, Jack",82,18-2023-R72,1,18:46,EV,Goal by Kevin Bahl assisted by Jack Hughes and Damon Severson,"Bahl, Kevin","Hughes, Jack","Severson, Damon"
"Hughes, Jack",83,18-2023-R72,3,05:20,EV,Goal by Jack Hughes assisted by Jesper Bratt and Kevin Bahl,"Hughes, Jack","Bratt, Jesper","Bahl, Kevin"
"Hughes, Jack",84,18-2023-R72,3,09:33,PP,Goal by Jack Hughes assisted by Nico Hischier and Dougie Hamilton,"Hughes, Jack","Hischier, Nico","Hamilton, Dougie"
"Hughes, Jack",85,18-2023-R73,1,10:21,PP,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",86,18-2023-R73,3,03:34,EV,Goal by Dougie Hamilton assisted by Jack Hughes and Ondřej Palát,"Hamilton, Dougie","Hughes, Jack","Palát, Ondřej"
"Hughes, Jack",87,18-2023-R75,1,17:03,PP,Goal by Timo Meier assisted by Jack Hughes and Nico Hischier,"Meier, Timo","Hughes, Jack","Hischier, Nico"
"Hughes, Jack",88,18-2023-R76,2,06:19,EV,Goal by Dougie Hamilton assisted by Ondřej Palát and Jack Hughes,"Hamilton, Dougie","Palát, Ondřej","Hughes, Jack"
"Hughes, Jack",89,18-2023-R76,2,18:28,EV,Goal by Jesper Boqvist assisted by Jack Hughes and Jesper Bratt,"Boqvist, Jesper","Hughes, Jack","Bratt, Jesper"
"Hughes, Jack",90,18-2023-R77,3,19:46,PP,Goal by Nico Hischier assisted by Jack Hughes and Jesper Bratt,"Hischier, Nico","Hughes, Jack","Bratt, Jesper"
"Hughes, Jack",91,18-2023-R78,2,02:54,PP,Goal by Timo Meier assisted by Jack Hughes and Dougie Hamilton,"Meier, Timo","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",92,18-2023-R79,1,11:35,EV,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",93,18-2023-R79,2,02:20,PP,Goal by Jack Hughes assisted by Timo Meier and Nico Hischier,"Hughes, Jack","Meier, Timo","Hischier, Nico"
"Hughes, Jack",94,18-2023-R79,2,16:16,PP,Goal by Timo Meier assisted by Jack Hughes and Jesper Bratt,"Meier, Timo","Hughes, Jack","Bratt, Jesper"
"Hughes, Jack",95,18-2023-R79,3,04:40,EV,Goal by Timo Meier assisted by John Marino and Jack Hughes,"Meier, Timo","Marino, John","Hughes, Jack"
"Hughes, Jack",96,18-2023-R80,1,06:21,EV,Goal by Jesper Bratt assisted by Jack Hughes and Ondřej Palát,"Bratt, Jesper","Hughes, Jack","Palát, Ondřej"
"Hughes, Jack",97,18-2023-R81,3,18:15,EV,Goal by Jack Hughes assisted by Jesper Bratt and Vítek Vaněček,"Hughes, Jack","Bratt, Jesper","Vaněček, Vítek"
"Hughes, Jack",98,18-2023-R82,3,03:17,EV,Goal by Erik Haula assisted by Jesper Bratt and Jack Hughes,"Haula, Erik","Bratt, Jesper","Hughes, Jack"
"Hughes, Jack",99,18-2023-R82,OT,04:33,EV,Goal by Luke Hughes assisted by Jack Hughes and Nico Hischier,"Hughes, Luke","Hughes, Jack","Hischier, Nico"
