tracked_player_name,Point_Number,Team_Game_Key,P,Time,Goal_Strength,Description,goal_scorer,primary_assist,secondary_assist
"Hughes, Jack",31,18-2022-R51,2,09:24,EV,Goal by Dawson Mercer assisted by Jack Hughes,"Mercer, Dawson","Hughes, Jack",
"Hughes, Jack",32,18-2022-R51,2,13:37,PP,Goal by Damon Severson assisted by Jack Hughes and Nico Hischier,"Severson, Damon","Hughes, Jack","Hischier, Nico"
"Hughes, Jack",33,18-2022-R51,3,09:30,PP,Goal by Nico Hischier assisted by Jack Hughes and Jesper Bratt,"Hischier, Nico","Hughes, Jack","Bratt, Jesper"
"Hughes, Jack",34,18-2022-R52,1,09:41,EV,Goal by Jack Hughes assisted by Ryan Graves,"Hughes, Jack","Graves, Ryan",
"Hughes, Jack",35,18-2022-R52,1,18:55,EV,Goal by Yegor Sharangovich assisted by Jack Hughes and Jonas Siegenthaler,"Sharangovich, Yegor","Hughes, Jack","Siegenthaler, Jonas"
"Hughes, Jack",36,18-2022-R52,3,15:45,EV,Goal by Jesper Bratt assisted by Damon Severson and Jack Hughes,"Bratt, Jesper","Severson, Damon","Hughes, Jack"
"Hughes, Jack",37,18-2022-R53,1,09:15,EV,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",38,18-2022-R53,1,15:24,EV,Goal by Yegor Sharangovich assisted by Dawson Mercer and Jack Hughes,"Sharangovich, Yegor","Mercer, Dawson","Hughes, Jack"
"Hughes, Jack",39,18-2022-R54,1,00:54,PP,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",40,18-2022-R56,2,09:26,EV,Goal by Dawson Mercer assisted by Jack Hughes and Jimmy Vesey,"Mercer, Dawson","Hughes, Jack","Vesey, Jimmy"
"Hughes, Jack",41,18-2022-R56,OT,01:12,EV,Goal by Dougie Hamilton assisted by Pavel Zacha and Jack Hughes,"Hamilton, Dougie","Zacha, Pavel","Hughes, Jack"
"Hughes, Jack",42,18-2022-R57,2,12:18,EV,Goal by Ty Smith assisted by Jack Hughes and Yegor Sharangovich,"Smith, Ty","Hughes, Jack","Sharangovich, Yegor"
"Hughes, Jack",43,18-2022-R57,3,13:04,PP,Goal by Nathan Bastian assisted by Jack Hughes and Jesper Bratt,"Bastian, Nathan","Hughes, Jack","Bratt, Jesper"
"Hughes, Jack",44,18-2022-R58,1,18:27,PP,Goal by Jack Hughes assisted by Jesper Bratt and Damon Severson,"Hughes, Jack","Bratt, Jesper","Severson, Damon"
"Hughes, Jack",45,18-2022-R60,2,04:25,EV,Goal by Jack Hughes assisted by Jesper Bratt,"Hughes, Jack","Bratt, Jesper",
"Hughes, Jack",46,18-2022-R60,2,11:55,EV,Goal by Nathan Bastian assisted by Yegor Sharangovich and Jack Hughes,"Bastian, Nathan","Sharangovich, Yegor","Hughes, Jack"
"Hughes, Jack",47,18-2022-R61,3,03:51,EV,Goal by Yegor Sharangovich assisted by Jesper Bratt and Jack Hughes,"Sharangovich, Yegor","Bratt, Jesper","Hughes, Jack"
"Hughes, Jack",48,18-2022-R63,3,09:36,PP,Goal by Jack Hughes assisted by Nico Hischier,"Hughes, Jack","Hischier, Nico",
"Hughes, Jack",49,18-2022-R63,3,10:46,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and P.K. Subban,"Hughes, Jack","Sharangovich, Yegor","Subban, P.K."
"Hughes, Jack",50,18-2022-R64,2,13:56,EV,Goal by Nico Hischier assisted by Jack Hughes and Dougie Hamilton,"Hischier, Nico","Hughes, Jack","Hamilton, Dougie"
"Hughes, Jack",51,18-2022-R65,2,00:55,EV,Goal by Jack Hughes assisted by Yegor Sharangovich and Dawson Mercer,"Hughes, Jack","Sharangovich, Yegor","Mercer, Dawson"
"Hughes, Jack",52,18-2022-R65,3,19:28,EV,Goal by Jesper Bratt assisted by Jack Hughes and Nico Hischier,"Bratt, Jesper","Hughes, Jack","Hischier, Nico"
"Hughes, Jack",53,18-2022-R66,1,19:16,EV,Goal by Jack Hughes,"Hughes, Jack",,
"Hughes, Jack",54,18-2022-R66,2,14:16,PP,Goal by Jack Hughes assisted by Jesper Bratt and Damon Severson,"Hughes, Jack","Bratt, Jesper","Severson, Damon"
"Hughes, Jack",55,18-2022-R67,1,11:02,EV,Goal by Jack Hughes assisted by Nico Hischier and Damon Severson,"Hughes, Jack","Hischier, Nico","Severson, Damon"
"Hughes, Jack",56,18-2022-R68,1,03:42,EV,Goal by Jack Hughes,"Hughes, Jack",,
