Key,team_id,Season_Year,GP,Season,Date,Home,Opp_Name,GF,GA,Result,OT,Team_S,Team_PIM,Team_PPG,Team_PPO,Team_SHG,Opp_S,Opp_PIM,Opp_PPG,Opp_PPO,Opp_SHG
18-2023-R1,18,2023,1,R,20221013,0,Philadelphia Flyers,2,5,L,0,37,8,1,3,0,25,8,1,3,0
18-2023-R2,18,2023,2,R,20221015,1,Detroit Red Wings,2,5,L,0,39,12,0,3,0,22,10,0,4,0
18-2023-R3,18,2023,3,R,20221018,1,Anaheim Ducks,4,2,W,0,41,15,0,3,0,20,23,0,4,0
18-2023-R4,18,2023,4,R,20221020,0,New York Islanders,4,1,W,0,43,6,0,3,0,17,8,0,2,0
18-2023-R5,18,2023,5,R,20221022,1,San Jose Sharks,2,1,W,0,36,4,1,3,0,22,6,0,2,0
18-2023-R6,18,2023,6,R,20221024,1,Washington Capitals,3,6,L,0,41,6,0,4,0,22,8,1,3,1
18-2023-R7,18,2023,7,R,20221025,0,Detroit Red Wings,6,2,W,0,41,6,1,1,1,22,2,0,3,0
18-2023-R8,18,2023,8,R,20221028,1,Colorado Avalanche,1,0,W,0,23,12,1,3,0,24,6,0,6,0
18-2023-R9,18,2023,9,R,20221030,1,Columbus Blue Jackets,7,1,W,0,53,6,1,3,0,21,8,0,2,0
18-2023-R10,18,2023,10,R,20221101,0,Vancouver Canucks,5,2,W,0,37,25,1,1,1,23,27,2,5,0
18-2023-R11,18,2023,11,R,20221103,0,Edmonton Oilers,4,3,W,0,43,4,0,3,0,37,6,1,2,0
18-2023-R12,18,2023,12,R,20221105,0,Calgary Flames,4,3,W,1,35,8,1,5,0,30,14,0,2,0
18-2023-R13,18,2023,13,R,20221108,1,Calgary Flames,3,2,W,0,20,13,1,5,0,35,15,2,4,0
18-2023-R14,18,2023,14,R,20221110,1,Ottawa Senators,4,3,W,1,41,8,1,3,0,28,6,1,4,0
18-2023-R15,18,2023,15,R,20221112,1,Arizona Coyotes,4,2,W,0,26,12,1,8,0,18,18,2,4,0
18-2023-R16,18,2023,16,R,20221115,0,Montreal Canadiens,5,1,W,0,39,4,1,2,0,26,4,0,2,0
18-2023-R17,18,2023,17,R,20221117,0,Toronto Maple Leafs,3,2,W,1,33,10,0,2,0,27,4,1,5,0
18-2023-R18,18,2023,18,R,20221119,0,Ottawa Senators,5,1,W,0,36,4,1,4,1,26,8,0,2,0
18-2023-R19,18,2023,19,R,20221121,1,Edmonton Oilers,5,2,W,0,28,8,1,3,0,30,6,1,4,0
18-2023-R20,18,2023,20,R,20221123,1,Toronto Maple Leafs,1,2,L,0,35,8,0,3,0,20,6,0,4,0
18-2023-R21,18,2023,21,R,20221125,0,Buffalo Sabres,3,1,W,0,44,2,0,1,0,34,2,0,1,0
18-2023-R22,18,2023,22,R,20221126,1,Washington Capitals,5,1,W,0,29,10,1,3,0,38,8,1,4,0
18-2023-R23,18,2023,23,R,20221128,0,New York Rangers,5,3,W,0,38,10,0,3,0,38,6,1,5,0
18-2023-R24,18,2023,24,R,20221201,1,Nashville Predators,3,4,L,1,28,2,2,5,0,24,10,0,1,0
18-2023-R25,18,2023,25,R,20221203,0,Philadelphia Flyers,3,2,W,0,18,6,0,3,0,33,6,1,3,0
18-2023-R26,18,2023,26,R,20221206,1,Chicago Blackhawks,3,0,W,0,29,6,1,2,0,24,4,0,3,0
18-2023-R27,18,2023,27,R,20221209,1,New York Islanders,4,6,L,0,29,23,1,3,0,32,11,1,4,0
18-2023-R28,18,2023,28,R,20221212,0,New York Rangers,3,4,L,1,29,6,0,2,0,23,6,1,2,0
18-2023-R29,18,2023,29,R,20221213,1,Dallas Stars,1,4,L,0,36,2,0,2,0,32,4,0,1,0
18-2023-R30,18,2023,30,R,20221215,1,Philadelphia Flyers,1,2,L,0,49,20,1,3,0,24,16,1,5,0
18-2023-R31,18,2023,31,R,20221217,1,Florida Panthers,2,4,L,0,32,6,0,3,0,29,8,1,2,0
18-2023-R32,18,2023,32,R,20221220,0,Carolina Hurricanes,1,4,L,0,38,8,0,4,0,20,8,0,4,1
18-2023-R33,18,2023,33,R,20221221,0,Florida Panthers,4,2,W,0,33,17,1,3,0,36,41,1,1,0
18-2023-R34,18,2023,34,R,20221223,1,Boston Bruins,3,4,L,0,40,2,1,2,0,23,4,0,1,0
18-2023-R35,18,2023,35,R,20221228,1,Boston Bruins,1,3,L,0,31,11,0,2,0,27,9,0,3,0
18-2023-R36,18,2023,36,R,20221230,0,Pittsburgh Penguins,4,2,W,0,28,18,1,6,1,27,12,0,9,0
18-2023-R37,18,2023,37,R,20230101,1,Carolina Hurricanes,4,5,L,0,28,10,0,3,0,47,8,1,4,1
18-2023-R38,18,2023,38,R,20230104,0,Detroit Red Wings,5,1,W,0,27,4,2,3,0,33,6,1,2,0
18-2023-R39,18,2023,39,R,20230105,1,St. Louis Blues,3,5,L,0,39,4,1,4,0,19,8,1,2,0
18-2023-R40,18,2023,40,R,20230107,1,New York Rangers,4,3,W,1,43,4,1,4,0,34,8,0,2,0
18-2023-R41,18,2023,41,R,20230110,0,Carolina Hurricanes,5,3,W,0,22,6,0,4,0,28,8,0,3,2
18-2023-R42,18,2023,42,R,20230113,0,Anaheim Ducks,6,2,W,0,39,15,1,2,0,33,11,1,4,0
18-2023-R43,18,2023,43,R,20230114,0,Los Angeles Kings,5,2,W,0,28,8,1,3,0,37,6,2,4,0
18-2023-R44,18,2023,44,R,20230116,0,San Jose Sharks,4,3,W,0,41,10,0,1,0,32,4,1,3,0
18-2023-R45,18,2023,45,R,20230119,0,Seattle Kraken,3,4,L,1,30,6,0,1,1,40,6,0,1,0
18-2023-R46,18,2023,46,R,20230122,1,Pittsburgh Penguins,2,1,W,1,25,4,1,2,0,26,4,0,2,0
18-2023-R47,18,2023,47,R,20230124,1,Vegas Golden Knights,3,2,W,1,36,11,1,1,0,30,7,0,3,0
18-2023-R48,18,2023,48,R,20230126,0,Nashville Predators,4,6,L,0,39,4,0,2,0,41,4,1,2,0
18-2023-R49,18,2023,49,R,20230127,0,Dallas Stars,3,2,W,1,29,8,0,3,0,35,6,1,4,0
18-2023-R50,18,2023,50,R,20230206,1,Vancouver Canucks,5,4,W,1,34,2,1,4,0,30,8,0,1,0
18-2023-R51,18,2023,51,R,20230209,1,Seattle Kraken,3,1,W,0,27,6,2,4,0,34,8,0,3,0
18-2023-R52,18,2023,52,R,20230211,0,Minnesota Wild,2,3,L,0,29,13,0,2,0,24,21,1,3,0
18-2023-R53,18,2023,53,R,20230214,0,Columbus Blue Jackets,3,2,W,0,32,6,0,2,0,33,4,1,3,0
18-2023-R54,18,2023,54,R,20230216,0,St. Louis Blues,2,4,L,0,36,8,0,1,0,35,4,1,3,0
18-2023-R55,18,2023,55,R,20230218,0,Pittsburgh Penguins,5,2,W,0,43,10,1,3,1,31,6,1,5,0
18-2023-R56,18,2023,56,R,20230219,1,Winnipeg Jets,4,2,W,0,29,6,0,2,0,25,4,0,3,0
18-2023-R57,18,2023,57,R,20230221,1,Montreal Canadiens,2,5,L,0,40,4,1,3,0,18,6,0,2,0
18-2023-R58,18,2023,58,R,20230223,1,Los Angeles Kings,4,3,W,1,32,2,0,4,0,22,8,0,1,0
18-2023-R59,18,2023,59,R,20230225,1,Philadelphia Flyers,7,0,W,0,36,9,0,1,0,23,7,0,2,0
18-2023-R60,18,2023,60,R,20230301,0,Colorado Avalanche,7,5,W,0,29,2,1,2,0,31,4,0,1,0
18-2023-R61,18,2023,61,R,20230303,0,Vegas Golden Knights,3,4,L,0,50,2,1,2,0,27,4,0,1,0
18-2023-R62,18,2023,62,R,20230305,0,Arizona Coyotes,5,4,W,1,40,4,1,1,0,29,2,0,2,0
18-2023-R63,18,2023,63,R,20230307,1,Toronto Maple Leafs,3,4,L,0,33,4,1,4,0,25,8,1,2,1
18-2023-R64,18,2023,64,R,20230309,0,Washington Capitals,3,2,W,0,40,4,1,3,0,22,6,0,2,0
18-2023-R65,18,2023,65,R,20230311,0,Montreal Canadiens,3,1,W,0,37,0,0,0,0,24,0,0,0,0
18-2023-R66,18,2023,66,R,20230312,1,Carolina Hurricanes,3,0,W,0,23,8,0,2,0,32,6,0,3,0
18-2023-R67,18,2023,67,R,20230314,1,Tampa Bay Lightning,1,4,L,0,23,4,0,2,0,30,4,0,2,1
18-2023-R68,18,2023,68,R,20230316,1,Tampa Bay Lightning,3,4,L,0,35,6,1,4,0,24,8,1,3,0
18-2023-R69,18,2023,69,R,20230318,0,Florida Panthers,2,4,L,0,35,8,0,2,1,41,4,1,4,0
18-2023-R70,18,2023,70,R,20230319,0,Tampa Bay Lightning,5,2,W,0,39,8,0,1,0,24,2,0,4,0
18-2023-R71,18,2023,71,R,20230321,1,Minnesota Wild,1,2,L,1,48,2,0,3,0,29,6,0,1,0
18-2023-R72,18,2023,72,R,20230324,0,Buffalo Sabres,4,5,L,0,31,8,1,3,0,26,6,1,4,0
18-2023-R73,18,2023,73,R,20230325,1,Ottawa Senators,5,3,W,0,35,21,1,2,0,28,9,0,3,0
18-2023-R74,18,2023,74,R,20230327,0,New York Islanders,1,5,L,0,31,2,0,2,1,36,4,0,1,1
18-2023-R75,18,2023,75,R,20230330,1,New York Rangers,2,1,W,0,31,4,1,2,0,25,4,1,2,0
18-2023-R76,18,2023,76,R,20230401,0,Chicago Blackhawks,6,3,W,0,40,2,0,1,0,17,2,0,1,0
18-2023-R77,18,2023,77,R,20230402,0,Winnipeg Jets,1,6,L,0,32,6,1,3,0,27,6,1,3,0
18-2023-R78,18,2023,78,R,20230404,1,Pittsburgh Penguins,5,1,W,0,37,8,1,4,0,23,8,0,4,0
18-2023-R79,18,2023,79,R,20230406,1,Columbus Blue Jackets,8,1,W,0,36,24,2,3,1,17,20,0,5,0
18-2023-R80,18,2023,80,R,20230408,0,Boston Bruins,1,2,L,0,30,4,0,3,0,40,10,1,1,0
18-2023-R81,18,2023,81,R,20230411,1,Buffalo Sabres,6,2,W,0,30,4,0,2,0,38,4,0,2,0
18-2023-R82,18,2023,82,R,20230413,0,Washington Capitals,5,4,W,1,34,11,1,2,0,31,11,0,1,0
